Refs,Datasheet,Footprint,Value,LCSC
D1,,kbd:D3_SMD_v2,D,C2099
D10,,kbd:D3_SMD_v2,D,C2099
D11,,kbd:D3_SMD_v2,D,C2099
D12,,kbd:D3_SMD_v2,D,C2099
D13,,kbd:D3_SMD_v2,D,C2099
D14,,kbd:D3_SMD_v2,D,C2099
D15,,kbd:D3_SMD_v2,D,C2099
D16,,kbd:D3_SMD_v2,D,C2099
D17,,kbd:D3_SMD_v2,D,C2099
D18,,kbd:D3_SMD_v2,D,C2099
D19,,kbd:D3_SMD_v2,D,C2099
D2,,kbd:D3_SMD_v2,D,C2099
D20,,kbd:D3_SMD_v2,D,C2099
D21,,kbd:D3_SMD_v2,D,C2099
D22,,kbd:D3_SMD_v2,D,C2099
D23,,kbd:D3_SMD_v2,D,C2099
D24,,kbd:D3_SMD_v2,D,C2099
D25,,kbd:D3_SMD_v2,D,C2099
D26,,kbd:D3_SMD_v2,D,C2099
D27,,kbd:D3_SMD_v2,D,C2099
D28,,kbd:D3_SMD_v2,D,C2099
D29,,kbd:D3_SMD_v2,D,C2099
D3,,kbd:D3_SMD_v2,D,C2099
D4,,kbd:D3_SMD_v2,D,C2099
D5,,kbd:D3_SMD_v2,D,C2099
D6,,kbd:D3_SMD_v2,D,C2099
D7,,kbd:D3_SMD_v2,D,C2099
D8,,kbd:D3_SMD_v2,D,C2099
D9,,kbd:D3_SMD_v2,D,C2099
J2,~,kbd:MJ-4PP-9_1side,4PIN
P4,,Lily58-footprint:MY_SIL-4,OLED
RSW1,,Lily58-footprint:TACT_SWITCH_TVBP06,SW_RST
SW1,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW10,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW11,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW12,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW13,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW14,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW15,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW16,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW17,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW18,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW19,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW2,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW20,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW21,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW22,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW23,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW24,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW25,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW26,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW27,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW28,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW29,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW3,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW4,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW5,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW6,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW7,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW8,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
SW9,,Lily58-footprint:CherryMX_Hotswap,SW_PUSH,C5156480
TH1,,Lily58-footprint:HOLE_M2,HOLE
TH2,,Lily58-footprint:HOLE_M2,HOLE
TH3,,holykeebs:M2_SPACER,HOLE
TH4,,holykeebs:M2_SPACER,HOLE
TH5,,holykeebs:M2_SPACER,HOLE
TH6,,holykeebs:M2_SPACER,HOLE
TH7,,holykeebs:M2_SPACER,HOLE
U1,,Lily58-footprint:ProMicro_rev2,ProMicro
